randomness,strategy,run_number,seed,outcome,accepted_tasks,rejected_tasks,elapsed_working_days,total_cost,nominal_budget_exhausted,effective_210000_ceiling_exceeded,quality_score,time_score,budget_score,total_score
none,low-cost-staffing,0,1571220,deadline_reached,66,34,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,1,1571221,deadline_reached,68,32,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,2,1571222,deadline_reached,59,41,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,3,1571223,deadline_reached,65,35,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,4,1571224,deadline_reached,60,40,70,116900.0,False,False,16,20,45,81
none,low-cost-staffing,5,1571225,deadline_reached,67,33,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,6,1571226,deadline_reached,65,35,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,7,1571227,deadline_reached,68,32,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,8,1571228,deadline_reached,69,31,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,9,1571229,deadline_reached,70,30,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,10,1571230,deadline_reached,67,33,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,11,1571231,deadline_reached,67,33,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,12,1571232,deadline_reached,61,39,70,116900.0,False,False,16,20,45,81
none,low-cost-staffing,13,1571233,deadline_reached,59,41,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,14,1571234,deadline_reached,57,43,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,15,1571235,deadline_reached,61,39,70,116900.0,False,False,16,20,45,81
none,low-cost-staffing,16,1571236,deadline_reached,50,50,70,116900.0,False,False,12,20,45,77
none,low-cost-staffing,17,1571237,deadline_reached,57,43,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,18,1571238,deadline_reached,57,43,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,19,1571239,deadline_reached,58,42,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,20,1571240,deadline_reached,63,37,70,116900.0,False,False,17,20,45,82
none,low-cost-staffing,21,1571241,deadline_reached,66,34,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,22,1571242,deadline_reached,62,38,70,116900.0,False,False,17,20,45,82
none,low-cost-staffing,23,1571243,deadline_reached,66,34,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,24,1571244,deadline_reached,59,41,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,25,1571245,deadline_reached,58,42,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,26,1571246,deadline_reached,48,52,70,116900.0,False,False,11,20,45,76
none,low-cost-staffing,27,1571247,deadline_reached,61,39,70,116900.0,False,False,16,20,45,81
none,low-cost-staffing,28,1571248,deadline_reached,58,42,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,29,1571249,deadline_reached,61,39,70,116900.0,False,False,16,20,45,81
none,low-cost-staffing,30,1571250,deadline_reached,49,51,70,116900.0,False,False,12,20,45,77
none,low-cost-staffing,31,1571251,deadline_reached,56,44,70,116900.0,False,False,14,20,45,79
none,low-cost-staffing,32,1571252,deadline_reached,51,49,70,116900.0,False,False,12,20,45,77
none,low-cost-staffing,33,1571253,deadline_reached,60,40,70,116900.0,False,False,16,20,45,81
none,low-cost-staffing,34,1571254,deadline_reached,64,36,70,116900.0,False,False,17,20,45,82
none,low-cost-staffing,35,1571255,deadline_reached,68,32,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,36,1571256,deadline_reached,69,31,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,37,1571257,deadline_reached,65,35,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,38,1571258,deadline_reached,58,42,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,39,1571259,deadline_reached,59,41,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,40,1571260,deadline_reached,59,41,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,41,1571261,deadline_reached,61,39,70,116900.0,False,False,16,20,45,81
none,low-cost-staffing,42,1571262,deadline_reached,63,37,70,116900.0,False,False,17,20,45,82
none,low-cost-staffing,43,1571263,deadline_reached,66,34,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,44,1571264,deadline_reached,68,32,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,45,1571265,deadline_reached,73,27,70,116900.0,False,False,21,20,45,86
none,low-cost-staffing,46,1571266,deadline_reached,70,30,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,47,1571267,deadline_reached,66,34,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,48,1571268,deadline_reached,72,28,70,116900.0,False,False,21,20,45,86
none,low-cost-staffing,49,1571269,deadline_reached,69,31,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,50,1571270,deadline_reached,56,44,70,116900.0,False,False,14,20,45,79
none,low-cost-staffing,51,1571271,deadline_reached,60,40,70,116900.0,False,False,16,20,45,81
none,low-cost-staffing,52,1571272,deadline_reached,58,42,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,53,1571273,deadline_reached,60,40,70,116900.0,False,False,16,20,45,81
none,low-cost-staffing,54,1571274,deadline_reached,68,32,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,55,1571275,deadline_reached,57,43,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,56,1571276,deadline_reached,64,36,70,116900.0,False,False,17,20,45,82
none,low-cost-staffing,57,1571277,deadline_reached,65,35,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,58,1571278,deadline_reached,70,30,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,59,1571279,deadline_reached,69,31,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,60,1571280,deadline_reached,68,32,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,61,1571281,deadline_reached,68,32,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,62,1571282,deadline_reached,71,29,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,63,1571283,deadline_reached,70,30,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,64,1571284,deadline_reached,59,41,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,65,1571285,deadline_reached,66,34,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,66,1571286,deadline_reached,65,35,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,67,1571287,deadline_reached,56,44,70,116900.0,False,False,14,20,45,79
none,low-cost-staffing,68,1571288,deadline_reached,63,37,70,116900.0,False,False,17,20,45,82
none,low-cost-staffing,69,1571289,deadline_reached,59,41,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,70,1571290,deadline_reached,65,35,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,71,1571291,deadline_reached,65,35,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,72,1571292,deadline_reached,63,37,70,116900.0,False,False,17,20,45,82
none,low-cost-staffing,73,1571293,deadline_reached,70,30,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,74,1571294,deadline_reached,63,37,70,116900.0,False,False,17,20,45,82
none,low-cost-staffing,75,1571295,deadline_reached,63,37,70,116900.0,False,False,17,20,45,82
none,low-cost-staffing,76,1571296,deadline_reached,65,35,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,77,1571297,deadline_reached,66,34,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,78,1571298,deadline_reached,60,40,70,116900.0,False,False,16,20,45,81
none,low-cost-staffing,79,1571299,deadline_reached,62,38,70,116900.0,False,False,17,20,45,82
none,low-cost-staffing,80,1571300,deadline_reached,66,34,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,81,1571301,deadline_reached,57,43,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,82,1571302,deadline_reached,58,42,70,116900.0,False,False,15,20,45,80
none,low-cost-staffing,83,1571303,deadline_reached,64,36,70,116900.0,False,False,17,20,45,82
none,low-cost-staffing,84,1571304,deadline_reached,62,38,70,116900.0,False,False,17,20,45,82
none,low-cost-staffing,85,1571305,deadline_reached,68,32,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,86,1571306,deadline_reached,69,31,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,87,1571307,deadline_reached,70,30,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,88,1571308,deadline_reached,68,32,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,89,1571309,deadline_reached,60,40,70,116900.0,False,False,16,20,45,81
none,low-cost-staffing,90,1571310,deadline_reached,61,39,70,116900.0,False,False,16,20,45,81
none,low-cost-staffing,91,1571311,deadline_reached,71,29,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,92,1571312,deadline_reached,69,31,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,93,1571313,deadline_reached,64,36,70,116900.0,False,False,17,20,45,82
none,low-cost-staffing,94,1571314,deadline_reached,70,30,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,95,1571315,deadline_reached,66,34,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,96,1571316,deadline_reached,72,28,70,116900.0,False,False,21,20,45,86
none,low-cost-staffing,97,1571317,deadline_reached,67,33,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,98,1571318,deadline_reached,68,32,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,99,1571319,deadline_reached,66,34,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,100,1571320,deadline_reached,66,34,70,116900.0,False,False,18,20,45,83
none,low-cost-staffing,101,1571321,deadline_reached,68,32,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,102,1571322,deadline_reached,70,30,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,103,1571323,deadline_reached,61,39,70,116900.0,False,False,16,20,45,81
none,low-cost-staffing,104,1571324,deadline_reached,67,33,70,116900.0,False,False,19,20,45,84
none,low-cost-staffing,105,1571325,deadline_reached,69,31,70,116900.0,False,False,20,20,45,85
none,low-cost-staffing,106,1571326,deadline_reached,64,36,70,116900.0,False,False,17,20,45,82
